goals1,goals2,r_cards1,r_cards2,yellow_cards1,yellow_cards2,league,treat,type,red_cards,yellow_cards,total_cards,total_goals,mus_ref
2,1,0,0,8,2,league2_wave2,1,mixed,0,10,10,3,0
3,3,0,0,0,0,league2_wave2,0,control,0,0,0,6,0
4,1,0,0,2,0,league2_wave2,1,treated,0,2,2,5,0
0,4,0,0,0,3,league2_wave2,1,mixed,0,3,3,4,0
1,2,0,0,0,0,league2_wave2,1,treated,0,0,0,3,0
1,3,0,0,0,0,league2_wave2,0,control,0,0,0,4,0
6,2,0,0,1,2,league2_wave2,1,mixed,0,3,3,8,0
3,2,0,0,1,0,league2_wave2,0,mixed,0,1,1,5,0
1,2,0,0,1,2,league2_wave2,1,mixed,0,3,3,3,0
1,11,0,0,0,0,league2_wave2,1,mixed,0,0,0,12,0
3,2,0,0,0,2,league2_wave2,0,control,0,2,2,5,0
0,2,0,0,0,2,league2_wave2,1,treated,0,2,2,2,0
1,2,0,0,0,6,league2_wave2,1,mixed,0,6,6,3,0
1,6,0,0,1,0,league2_wave2,0,mixed,0,1,1,7,0
1,5,0,0,0,9,league2_wave2,0,control,0,9,9,6,0
1,3,0,0,2,3,league2_wave2,1,mixed,0,5,5,4,0
2,4,0,0,0,3,league2_wave2,1,mixed,0,3,3,6,0
1,0,0,0,1,7,league2_wave2,1,treated,0,8,8,1,0
4,3,0,0,0,9,league2_wave2,1,mixed,0,9,9,7,0
4,2,0,0,0,6,league2_wave2,1,mixed,0,6,6,6,0
1,4,0,0,0,0,league2_wave2,0,mixed,0,0,0,5,0
0,2,0,0,1,1,league2_wave2,0,mixed,0,2,2,2,0
4,0,0,0,2,0,league2_wave2,1,treated,0,2,2,4,0
0,13,0,0,0,0,league2_wave2,0,mixed,0,0,0,13,0
4,1,0,0,0,0,league2_wave2,1,mixed,0,0,0,5,0
2,1,0,0,1,2,league2_wave2,0,control,0,3,3,3,0
1,4,0,0,0,0,league2_wave2,1,treated,0,0,0,5,0
1,4,0,0,0,1,league2_wave2,0,control,0,1,1,5,0
1,2,0,0,0,0,league2_wave2,1,treated,0,0,0,3,0
0,3,0,0,0,2,league2_wave2,0,mixed,0,2,2,3,0
2,6,0,0,0,0,league2_wave2,0,control,0,0,0,8,0
0,4,0,0,0,4,league2_wave2,1,mixed,0,4,4,4,0
1,2,0,0,1,0,league2_wave2,0,mixed,0,1,1,3,0
8,1,0,0,1,0,league2_wave2,1,treated,0,1,1,9,0
2,4,0,0,1,2,league2_wave2,0,control,0,3,3,6,0
2,2,0,0,0,0,league2_wave2,1,treated,0,0,0,4,0
6,0,0,0,0,0,league2_wave2,0,mixed,0,0,0,6,0
1,3,0,0,0,4,league2_wave2,0,control,0,4,4,4,0
2,2,0,0,0,9,league2_wave2,1,mixed,0,9,9,4,0
5,3,0,0,0,0,league2_wave2,0,control,0,0,0,8,0
1,5,0,0,0,0,league2_wave2,1,treated,0,0,0,6,0
2,0,0,0,1,0,league2_wave2,1,mixed,0,1,1,2,0
1,3,0,0,0,0,league2_wave2,0,mixed,0,0,0,4,0
0,0,0,0,1,1,league2_wave2,1,mixed,0,2,2,0,0
7,0,0,0,0,0,league2_wave2,1,treated,0,0,0,7,0
4,1,0,0,1,0,league2_wave2,1,mixed,0,1,1,5,0
1,2,0,0,0,8,league2_wave2,1,mixed,0,8,8,3,0
5,0,0,0,2,0,league2_wave2,0,mixed,0,2,2,5,0
0,3,1,0,1,3,league2_wave2,0,control,1,4,5,3,0
2,3,0,0,2,9,league2_wave2,0,control,0,11,11,5,0
3,0,0,0,0,0,league2_wave2,1,treated,0,0,0,3,0
2,3,0,0,1,2,league2_wave2,0,mixed,0,3,3,5,0
1,2,0,0,3,2,league1_wave2,0,control,0,5,5,3,0
1,1,0,0,1,2,league1_wave2,1,treated,0,3,3,2,0
